EID,key,direction,time
0,t,0,1492602618504
1,t,1,1492602618616
2,h,0,1492602618688
3,h,1,1492602618775
4,i,0,1492602618916
5,i,1,1492602618978
6,s,0,1492602619012
7,s,1,1492602619085
8,SPACE,0,1492602619217
9,SPACE,1,1492602619305
10,i,0,1492602619788
11,i,1,1492602619873
12,s,0,1492602620003
13,s,1,1492602620113
14,SPACE,0,1492602620135
15,SPACE,1,1492602620211
16,a,0,1492602620327
17,a,1,1492602620436
18,SPACE,0,1492602620566
19,SPACE,1,1492602620653
20,t,0,1492602621058
21,t,1,1492602621143
22,e,0,1492602621226
23,e,1,1492602621311
24,s,0,1492602621465
25,s,1,1492602621575
26,t,0,1492602621575
27,t,1,1492602621644
28,SPACE,0,1492602621825
29,SPACE,1,1492602621898
30,t,0,1492602622101
31,t,1,1492602622173
32,o,0,1492602622306
33,o,1,1492602622364
34,SPACE,0,1492602622566
35,SPACE,1,1492602622664
36,s,0,1492602623137
37,s,1,1492602623243
38,e,0,1492602623373
39,e,1,1492602623470
40,e,0,1492602623588
41,e,1,1492602623674
42,SPACE,0,1492602623745
43,SPACE,1,1492602623831
44,i,0,1492602624217
45,i,1,1492602624291
46,f,0,1492602624421
47,f,1,1492602624514
48,SPACE,0,1492602624577
49,SPACE,1,1492602624676
50,t,0,1492602624697
51,t,1,1492602624782
52,h,0,1492602624935
53,h,1,1492602625021
54,e,0,1492602625093
55,e,1,1492602625177
56,SPACE,0,1492602625285
57,SPACE,1,1492602625358
58,w,0,1492602625716
59,w,1,1492602625813
60,o,0,1492602625991
61,o,1,1492602626064
62,r,0,1492602626206
63,r,1,1492602626292
64,d,0,1492602626470
65,d,1,1492602626567
66,s,0,1492602626710
67,s,1,1492602626794
68,SPACE,0,1492602626866
69,SPACE,1,1492602626964
70,t,0,1492602627472
71,t,1,1492602627545
72,h,0,1492602627629
73,h,1,1492602627701
74,a,0,1492602627772
75,a,1,1492602627857
76,t,0,1492602627916
77,t,1,1492602627989
78,SPACE,0,1492602628204
79,SPACE,1,1492602628278
80,i,0,1492602628643
81,i,1,1492602628716
82,SPACE,0,1492602628919
83,SPACE,1,1492602629004
84,t,0,1492602629062
85,t,1,1492602629111
86,y,0,1492602629254
87,y,1,1492602629338
88,p,0,1492602629516
89,p,1,1492602629590
90,e,0,1492602629673
91,e,1,1492602629746
92,SPACE,0,1492602629901
93,SPACE,1,1492602629999
94,a,0,1492602630998
95,a,1,1492602631084
96,r,0,1492602631250
97,r,1,1492602631359
98,e,0,1492602631466
99,e,1,1492602631562
100,SPACE,0,1492602631602
101,SPACE,1,1492602631683
102,u,0,1492602631836
