EID,key,direction,time
0,t,0,1494853890318
1,t,1,1494853890965
2,h,0,1494853890966
3,h,1,1494853891226
4,i,0,1494853891227
5,i,1,1494853891228
6,s,0,1494853891563
7,s,1,1494853891620
8,SPACE,0,1494853892157
9,SPACE,1,1494853892211
10,i,0,1494853893215
11,i,1,1494853893264
12,s,0,1494853893665
13,s,1,1494853893697
14,SPACE,0,1494853895037
15,SPACE,1,1494853895082
16,a,0,1494853895471
17,a,1,1494853895520
18,SPACE,0,1494853896025
19,SPACE,1,1494853896076
20,t,0,1494853896506
21,t,1,1494853896564
22,e,0,1494853896860
23,e,1,1494853896924
24,s,0,1494853897044
25,s,1,1494853897093
26,t,0,1494853897333
27,t,1,1494853897373
28,SPACE,0,1494853898307
29,SPACE,1,1494853898350
30,t,0,1494853900129
31,t,1,1494853900192
32,o,0,1494853900737
33,o,1,1494853900802
34,SPACE,0,1494853901114
35,SPACE,1,1494853901189
36,s,0,1494853901604
37,s,1,1494853901709
38,e,0,1494853901941
39,e,1,1494853901997
40,e,0,1494853902109
41,e,1,1494853902158
42,SPACE,0,1494853902583
43,SPACE,1,1494853902668
44,t,0,1494853903766
45,t,1,1494853903807
46,h,0,1494853904030
47,h,1,1494853904095
48,e,0,1494853904408
49,e,1,1494853904456
50,SPACE,0,1494853904746
51,SPACE,1,1494853904814
52,w,0,1494853905187
53,w,1,1494853905253
54,o,0,1494853905678
55,o,1,1494853905726
56,r,0,1494853906175
57,r,1,1494853906234
58,d,0,1494853906448
59,d,1,1494853906514
60,s,0,1494853906705
61,s,1,1494853906762
62,BACKSPACE,0,1494853908666
63,BACKSPACE,1,1494853908755
64,BACKSPACE,0,1494853908867
65,BACKSPACE,1,1494853908915
66,BACKSPACE,0,1494853909027
67,BACKSPACE,1,1494853909075
68,BACKSPACE,0,1494853909187
69,BACKSPACE,1,1494853909235
70,BACKSPACE,0,1494853909347
71,BACKSPACE,1,1494853909404
72,BACKSPACE,0,1494853909532
73,BACKSPACE,1,1494853909582
74,BACKSPACE,0,1494853909756
75,BACKSPACE,1,1494853909822
76,BACKSPACE,0,1494853909964
77,BACKSPACE,1,1494853910006
78,BACKSPACE,0,1494853910109
79,BACKSPACE,1,1494853910158
80,i,0,1494853910945
81,i,1,1494853911003
82,f,0,1494853911483
83,f,1,1494853911555
